ID,SURFY,Town,Cunha,Diaz-Ramos,LogAPC
Q96PE1,1,0,1,0,2.079181246
Q96PE3,0,0,1,0,
Q96Q45,0,0,1,0,2.079181246
Q96QD8,1,1,1,0,0.715490069
Q96S52,0,1,0,0,
Q96S97,1,1,1,1,0.706712514
Q96SK2,0,1,1,0,
Q96TA2,0,1,0,0,
Q99442,0,1,0,0,
Q99523,1,1,0,0,2.079181246
Q99643,0,1,0,0,-0.855043797
Q99795,1,1,1,0,2.079181246
Q99805,1,1,1,0,
Q99808,1,0,1,1,0.528923837
Q9BQA9,0,1,0,0,-1.01084348
Q9BQE5,0,0,1,0,
Q9BS26,0,1,0,0,
Q9BSJ8,0,1,1,0,-1.886548972
Q9BT22,0,1,0,0,
Q9BTV4,0,1,1,0,
Q9BTX1,0,1,1,0,
Q9BTX3,0,1,0,0,
Q9BU23,0,0,1,0,
Q9BUB7,0,1,1,0,-0.96717896
Q9BVC6,0,1,1,0,
Q9BVI4,0,1,0,0,
Q9BVK6,0,1,0,0,-1.308763819
Q9BVT8,0,1,1,0,
Q9BW60,0,1,0,0,
Q9BX67,1,1,1,1,0.500008613
Q9BXS9,1,1,1,0,2.079181246
Q9BY67,1,1,1,0,2.079181246
Q9BZF1,0,0,1,0,
Q9BZM5,1,1,1,1,-0.317587261
Q9BZM6,1,0,1,1,2.079181246
Q9C0C4,1,1,1,1,2.079181246
Q9C0K1,1,0,1,0,0.743822586
Q9GZP9,0,1,0,0,2.079181246
Q9GZZ9,0,0,1,0,
Q9H0H5,0,1,0,0,
Q9H0U3,0,0,1,0,-1.364013511
Q9H0V9,1,1,0,0,
Q9H0X4,0,1,0,0,1.118847623
Q9H1E5,1,1,1,0,
Q9H2H9,1,1,1,1,2.079181246
Q9H330,1,1,1,0,
Q9H3N1,0,1,0,0,-1.81608855
Q9H3S1,1,0,1,1,2.079181246
Q9H3Z4,0,0,1,0,
Q9H553,0,1,0,0,
Q9H6A9,0,1,0,0,
Q9H6H4,0,1,1,0,
Q9H6X2,1,1,1,1,2.079181246
Q9H7Z7,0,1,0,0,
Q9H813,0,1,1,0,2.079181246
Q9H8H3,0,0,1,0,
